model,baseline,current,n_comparisons,bonferroni,n,a,b,c,d,acc1,acc2,delta,ndis,discordance,p,alert_raw,alert_bonf,alert_bonf_floor,alert_3pp,alert_5pp
gemini-2.0-flash,2026-03-08,2026-03-10,2,0.025,299,147,13,14,125,0.5351170568561873,0.5384615384615384,0.0033444816053511705,27,0.0903010033444816,0.6494459807872772,0,0,0,0,0
gemini-2.0-flash,2026-03-08,2026-03-15,2,0.025,299,139,21,18,121,0.5351170568561873,0.5250836120401338,-0.010033444816053512,39,0.13043478260869565,0.3746293123804209,0,0,0,0,0
gemini-2.5-flash,2026-03-08,2026-03-10,14,0.0035714285714285718,300,238,3,3,56,0.8033333333333333,0.8033333333333333,0.0,6,0.02,0.65625,0,0,0,0,0
gemini-2.5-flash,2026-03-08,2026-03-15,14,0.0035714285714285718,300,229,12,11,48,0.8033333333333333,0.8,-0.0033333333333333335,23,0.07666666666666666,0.5,0,0,0,0,0
gemini-2.5-flash,2026-03-08,2026-03-22,14,0.0035714285714285718,298,229,10,13,46,0.802013422818792,0.8120805369127517,0.010067114093959731,23,0.07718120805369127,0.7975635528564453,0,0,0,0,0
gemini-2.5-flash,2026-03-08,2026-04-06,14,0.0035714285714285718,300,230,11,11,48,0.8033333333333333,0.8033333333333333,0.0,22,0.07333333333333333,0.5840940475463867,0,0,0,0,0
gemini-2.5-flash,2026-03-08,2026-04-13,14,0.0035714285714285718,299,230,10,12,47,0.802675585284281,0.8093645484949833,0.006688963210702341,22,0.07357859531772576,0.7382664680480957,0,0,0,0,0
gemini-2.5-flash,2026-03-08,2026-04-20,14,0.0035714285714285718,299,230,10,12,47,0.802675585284281,0.8093645484949833,0.006688963210702341,22,0.07357859531772576,0.7382664680480957,0,0,0,0,0
gemini-2.5-flash,2026-03-08,2026-05-04,14,0.0035714285714285718,299,229,11,11,48,0.802675585284281,0.802675585284281,0.0,22,0.07357859531772576,0.5840940475463867,0,0,0,0,0
gemini-2.5-flash,2026-03-08,2026-05-11,14,0.0035714285714285718,298,230,9,12,47,0.802013422818792,0.8120805369127517,0.010067114093959731,21,0.07046979865771812,0.808344841003418,0,0,0,0,0
gemini-2.5-flash,2026-03-08,2026-05-18,14,0.0035714285714285718,297,228,11,11,47,0.8047138047138047,0.8047138047138047,0.0,22,0.07407407407407407,0.5840940475463867,0,0,0,0,0
gemini-2.5-flash,2026-03-08,2026-05-25,14,0.0035714285714285718,298,228,11,13,46,0.802013422818792,0.8087248322147651,0.006711409395973154,24,0.08053691275167785,0.7293719053268433,0,0,0,0,0
gemini-2.5-flash,2026-03-08,2026-06-01,14,0.0035714285714285718,298,229,10,10,49,0.802013422818792,0.802013422818792,0.0,20,0.06711409395973154,0.5880985260009766,0,0,0,0,0
gemini-2.5-flash,2026-03-08,2026-06-08,14,0.0035714285714285718,298,227,12,14,45,0.802013422818792,0.8087248322147651,0.006711409395973154,26,0.087248322147651,0.7214014530181885,0,0,0,0,0
gemini-2.5-flash,2026-03-08,2026-06-15,14,0.0035714285714285718,300,231,10,11,48,0.8033333333333333,0.8066666666666666,0.0033333333333333335,21,0.07,0.6681880950927734,0,0,0,0,0
gemini-2.5-flash,2026-03-08,2026-06-22,14,0.0035714285714285718,300,230,11,12,47,0.8033333333333333,0.8066666666666666,0.0033333333333333335,23,0.07666666666666666,0.6611802577972412,0,0,0,0,0
gpt-4.1-mini,2026-03-08,2026-03-10,23,0.002173913043478261,300,233,6,9,52,0.7966666666666666,0.8066666666666666,0.01,15,0.05,0.84912109375,0,0,0,0,0
gpt-4.1-mini,2026-03-08,2026-03-15,23,0.002173913043478261,299,231,7,5,56,0.7959866220735786,0.7892976588628763,-0.006688963210702341,12,0.04013377926421405,0.38720703125,0,0,0,0,0
gpt-4.1-mini,2026-03-08,2026-03-22,23,0.002173913043478261,297,185,51,12,49,0.7946127946127947,0.6632996632996633,-0.13131313131313133,63,0.21212121212121213,3.7298611410823296e-07,1,1,1,1,1
gpt-4.1-mini,2026-03-08,2026-03-23,23,0.002173913043478261,300,148,91,6,55,0.7966666666666666,0.5133333333333333,-0.2833333333333333,97,0.3233333333333333,6.665782674246889e-21,1,1,1,1,1
gpt-4.1-mini,2026-03-08,2026-03-28,23,0.002173913043478261,300,231,8,8,53,0.7966666666666666,0.7966666666666666,0.0,16,0.05333333333333334,0.5981903076171875,0,0,0,0,0
gpt-4.1-mini,2026-03-08,2026-04-01,23,0.002173913043478261,299,230,9,11,49,0.7993311036789298,0.8060200668896321,0.006688963210702341,20,0.06688963210702341,0.7482776641845703,0,0,0,0,0
gpt-4.1-mini,2026-03-08,2026-04-06,23,0.002173913043478261,299,228,10,12,49,0.7959866220735786,0.802675585284281,0.006688963210702341,22,0.07357859531772576,0.7382664680480957,0,0,0,0,0
gpt-4.1-mini,2026-03-08,2026-04-13,23,0.002173913043478261,300,231,8,10,51,0.7966666666666666,0.8033333333333333,0.006666666666666667,18,0.06,0.7596588134765625,0,0,0,0,0
gpt-4.1-mini,2026-03-08,2026-04-20,23,0.002173913043478261,299,233,6,8,52,0.7993311036789298,0.8060200668896321,0.006688963210702341,14,0.046822742474916385,0.78802490234375,0,0,0,0,0
gpt-4.1-mini,2026-03-08,2026-04-27,23,0.002173913043478261,300,225,14,11,50,0.7966666666666666,0.7866666666666666,-0.01,25,0.08333333333333333,0.34501898288726807,0,0,0,0,0
gpt-4.1-mini,2026-03-08,2026-05-11,23,0.002173913043478261,300,227,12,10,51,0.7966666666666666,0.79,-0.006666666666666667,22,0.07333333333333333,0.4159059524536133,0,0,0,0,0
